ticker,model,forecast_type,MAE,RMSE,MAPE,sMAPE,MASE,Mean_Error,Directional_Accuracy
JNJ,Linear Regression,One-step-ahead next-day forecast,1.2139810448408344,1.6818505020728034,0.7926224739903261,0.7926035385209499,1.016376794352949,-0.02125732256620698,0.4960091220068415
JNJ,LSTM + Sentiment,One-step-ahead next-day forecast,1.2252122911308825,1.6932377295551415,0.8009701864040806,0.8013575638985727,1.0257798885358274,-0.10181154854145126,0.4982896237172178
KO,Random Walk,One-step-ahead next-day forecast,0.4433764783959637,0.6096503140635193,0.7437041910383455,0.7436158712491114,1.0,-0.017167371616028795,0.010964912280701754
KO,LSTM,One-step-ahead next-day forecast,0.44796675292872296,0.6165534656568019,0.7516720278572324,0.7502155620200688,1.0103529951551913,0.09178008872636453,0.5219298245614035
KO,LSTM + Sentiment,One-step-ahead next-day forecast,0.4524921123816107,0.6205191661947357,0.7570951246346014,0.7566359957800597,1.0205595795668396,0.012021625493920262,0.5175438596491229
KO,Linear Regression,One-step-ahead next-day forecast,0.4622026972214686,0.6284106964259155,0.7738175905092588,0.7742270322030637,1.042461022951903,-0.05557096496256699,0.4583333333333333
MSFT,Random Walk,One-step-ahead next-day forecast,4.124203762765658,5.592112487940956,1.2211100096899277,1.2215872704781763,1.0,-0.1863206443140066,0.0
MSFT,LSTM + Sentiment,One-step-ahead next-day forecast,4.603072000907551,6.642563367486147,1.3518986297856959,1.3526700532484477,1.1161116825665198,0.5323913474126617,0.5233050847457628
MSFT,LSTM,One-step-ahead next-day forecast,4.777641852644037,6.567609621784066,1.3724506864089,1.3695227094245188,1.1584398171054935,1.2113501970843181,0.5127118644067796
MSFT,Linear Regression,One-step-ahead next-day forecast,5.902155987734084,7.678918841240277,1.684644935561594,1.6758252039700432,1.431101935607601,1.515342231755241,0.5180084745762712
NFLX,Random Walk,One-step-ahead next-day forecast,0.9629936298825547,1.4857462570010818,1.835239415176678,1.8267745442067935,1.0,-0.0671837352523076,0.0010559662090813093
NFLX,LSTM + Sentiment,One-step-ahead next-day forecast,0.966748514806944,1.4977758754622434,1.8409781838474644,1.8300155050628781,1.0038991794004362,0.017900724180901457,0.5058078141499472
NFLX,LSTM,One-step-ahead next-day forecast,1.0066570319382941,1.5657498251104915,1.8773336708645227,1.865202191858558,1.0453413197147157,0.09227812152868482,0.5131995776135164
NFLX,Linear Regression,One-step-ahead next-day forecast,1.0307625071346458,1.5700777377018245,1.904029390125516,1.8980524241764631,1.0703731313989648,-0.23544404406305622,0.5015839493136219
NVDA,Random Walk,One-step-ahead next-day forecast,1.8009577553073135,2.8836011820611005,2.48823136653446,2.4923982743942474,1.0,-0.1476385741468673,0.0010706638115631692
NVDA,LSTM + Sentiment,One-step-ahead next-day forecast,2.3466960219553648,3.932021790003713,3.0301761453617826,3.0529509375173354,1.3030266895710316,-0.705603479503722,0.48394004282655245
NVDA,LSTM,One-step-ahead next-day forecast,2.428362600124969,4.097024077858029,2.9709541349298734,3.0058897033222056,1.3483728826890755,-1.070521420417491,0.5203426124197003
NVDA,Linear Regression,One-step-ahead next-day forecast,5.484024517987001,9.312499340202132,5.605499888838084,5.656543402018461,3.0450600530889256,-0.5929705374871442,0.5053533190578159
WMT,LSTM,One-step-ahead next-day forecast,0.6072208456039049,0.9630751936848301,0.9298009596405011,0.9279189223634873,0.9925442523683456,0.04782595268306367,0.5536663124335813
WMT,Random Walk,One-step-ahead next-day forecast,0.6117821388366245,0.9668374883931332,0.9357860879920195,0.935621175157822,1.0,-0.07193281394642276,0.0021253985122210413
WMT,LSTM + Sentiment,One-step-ahead next-day forecast,0.6217733018777006,0.9749163655201788,0.9527414481213868,0.9534666784817356,1.0163312434391687,-0.13969854432180373,0.4718384697130712
WMT,Linear Regression,One-step-ahead next-day forecast,0.6382178248790249,1.0132750542836033,0.9692581630147407,0.9695001853864075,1.0432109477610298,-0.06253644961371031,0.5026567481402763
