ticker,year,month,window_size,mu,sigma,beta_sentiment,MAE,RMSE
WMT,2025,10,252,0.23814529400915913,0.23968206645405019,-0.05282344811767907,1.875642466117338,2.3435011453547725
WMT,2025,11,252,0.20151060689670505,0.24284084255645963,-0.1957499134024922,1.6388400953629476,2.175574367227608
WMT,2025,12,252,0.23471121282025212,0.2525274107737789,-0.16206125798578533,0.23440948851606436,0.3315050778083585
NVDA,2022,1,252,0.6838663543260171,0.4454441490187432,0.7460949363832287,6.115711805098771,7.013940608884484
NVDA,2022,2,252,0.4769483538350101,0.46034758467198544,0.5103556339581843,0.9797727443734333,1.1886212641718856
NVDA,2022,3,252,0.39648035198918896,0.4876157301248552,0.5535937875101272,2.813331562348184,3.653003508499748
NVDA,2022,4,252,0.674745553368109,0.49581240856744274,-0.0029250136535864417,5.186846844838099,5.918935164294775
NVDA,2022,5,252,0.079997248433821,0.5146992395015487,-0.11018099671590496,1.8215925708491252,2.0845620639357034
NVDA,2022,6,252,0.08473827500978903,0.5517104471277462,-0.2253359488634411,1.401742900675338,1.6261439680298146
NVDA,2022,7,252,-0.3231175448700492,0.5737099286358294,-0.5527458011112696,2.1640837340305743,2.5535350810397195
NVDA,2022,8,252,-0.09685465611029875,0.5823627216621658,-0.4907338153236133,0.9846138244500987,1.3207064490001021
NVDA,2022,9,252,-0.4390276802420819,0.5979040868984873,-0.6881113233673305,0.6762380503805218,0.7751482583878516
NVDA,2022,10,252,-0.656006278368735,0.6142077619472058,-0.6964309098745484,0.707742515590645,0.8519861267315627
NVDA,2022,11,252,-0.583617771511705,0.6288148834056393,-0.44864061559456464,2.073463152961935,2.4151616113863668
NVDA,2022,12,252,-0.6754827987243021,0.6361330779451202,-0.531030277216064,0.6928611378850436,0.8695024795486517
NVDA,2023,1,252,-0.6831347219982925,0.6262304497283772,-0.5859885636488668,3.3876942804288626,4.029944046425944
NVDA,2023,2,252,-0.3220913658507374,0.6359105760561423,-0.5826237527598737,1.7115415538698708,2.0688326076662347
NVDA,2023,3,252,-0.1567839840719223,0.6361775587198087,-0.5638113369802671,2.6132474696881363,3.1749894817627156
NVDA,2023,4,252,-0.0027812538631346584,0.6106819380322717,-0.7531793819349228,0.5046012031504675,0.6132967958204288
NVDA,2023,5,252,0.21484671333774763,0.5919615212819236,-0.4649683548649386,2.937624870433153,4.841910401167373
NVDA,2023,6,252,0.7790571049028221,0.5956548874440534,-0.24222100057401239,1.3117754515037645,1.574652696407363
NVDA,2023,7,252,0.9237038689530905,0.5753446591973911,0.30954423755426075,1.0020322099456547,1.3495563564234196
NVDA,2023,8,252,0.9484734914794432,0.563214987918637,0.5176842052219116,3.9483395669409247,4.324701586036622
NVDA,2023,9,252,1.0112856727996522,0.5605104979722021,0.49106659345688664,6.940009814205889,7.912424197975132
NVDA,2023,10,252,1.2432885059481478,0.5333704873251346,-0.08913029855322617,3.5905956741117184,4.797413336959574
NVDA,2023,11,252,1.1209226360642326,0.521822705847443,-0.6555132446729572,4.00909567712698,4.352315976986937
NVDA,2023,12,252,1.0382893235044515,0.49377783972820444,-0.39028771886118174,0.5897495604465594,0.7861480406884322
NVDA,2024,1,252,1.2282476134349376,0.46675784869790965,0.40655486048830725,5.0763125540437795,5.785894173931517
NVDA,2024,2,252,1.0791522902204844,0.4534134003976691,1.1137412339854649,3.5041165838363204,3.780071040366614
NVDA,2024,3,252,1.187315613184862,0.4462157434292153,0.8502648179656048,2.446492391156712,3.2821841928764446
NVDA,2024,4,252,1.2303353411448321,0.4539689714081343,0.7594746046868796,14.030883732222003,16.214672701319248
NVDA,2024,5,252,1.1361318188451448,0.47793086353482783,-0.08507210462174647,9.519703553335818,11.857770973744499
NVDA,2024,6,252,1.0642509532475302,0.43599543549816977,0.1733069331607677,5.244429224764751,6.52491571629789
NVDA,2024,7,252,1.100442557524347,0.44513401310533657,0.14737012304172212,10.306512598679351,14.042360524079635
NVDA,2024,8,252,0.9182791363283618,0.48214735906619793,0.7376837133490259,6.527551533167707,7.318660301169239
